=== DISTRIBUCIÓN CONJUNTA ===
Número de variables: 25
Número de configuraciones: 33554432
------------------------------------------------------------
Distribución demasiado grande para mostrar completa (33554432 configuraciones).
Mostrando solo las primeras y últimas 5 configuraciones:

X25 X24 X23 X22 X21 X20 X19 X18 X17 X16 X15 X14 X13 X12 X11 X10 X9 X8 X7 X6 X5 X4 X3 X2 X1 | Probabilidad
------------------------------------------------------------
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  | 0.000000
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  | 0.000000
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  | 0.000000
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  | 0.000000
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  | 0.000000
... (33554422 configuraciones omitidas) ...
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0  1  1  | 0.000000
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0  0  | 0.000000
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0  1  | 0.000000
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0  | 0.000000
1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  | 0.000000

=== DISTRIBUCIÓN CONDICIONAL ===
Variables condicionadas (X_C): X1=0, X2=0, X3=1, X4=0, X5=1, X6=1, X7=0, X8=1, X9=1, X10=0
Variables de interés (X_I): X11, X12, X13, X14, X15, X16, X17, X18, X19

Probabilidades condicionales P(X_I | X_C):
------------------------------------------------------------
X11	X12	X13	X14	X15	X16	X17	X18	X19	| Probabilidad
------------------------------------------------------------
0	0	0	0	0	0	0	0	0	| 0.002211
1	0	0	0	0	0	0	0	0	| 0.001992
0	1	0	0	0	0	0	0	0	| 0.002562
1	1	0	0	0	0	0	0	0	| 0.001610
0	0	1	0	0	0	0	0	0	| 0.001799
1	0	1	0	0	0	0	0	0	| 0.002496
0	1	1	0	0	0	0	0	0	| 0.001596
1	1	1	0	0	0	0	0	0	| 0.001516
0	0	0	1	0	0	0	0	0	| 0.001804
1	0	0	1	0	0	0	0	0	| 0.002022
0	1	0	1	0	0	0	0	0	| 0.002017
1	1	0	1	0	0	0	0	0	| 0.001959
0	0	1	1	0	0	0	0	0	| 0.001986
1	0	1	1	0	0	0	0	0	| 0.002045
0	1	1	1	0	0	0	0	0	| 0.001948
1	1	1	1	0	0	0	0	0	| 0.002004
0	0	0	0	1	0	0	0	0	| 0.002169
1	0	0	0	1	0	0	0	0	| 0.001648
0	1	0	0	1	0	0	0	0	| 0.001986
1	1	0	0	1	0	0	0	0	| 0.002008
0	0	1	0	1	0	0	0	0	| 0.001796
1	0	1	0	1	0	0	0	0	| 0.001886
0	1	1	0	1	0	0	0	0	| 0.002121
1	1	1	0	1	0	0	0	0	| 0.002438
0	0	0	1	1	0	0	0	0	| 0.001411
